title,city,skills
Junior/Middle QA Automation Engineer (Python),Київ,"Користувач ОС Linux,MySQL,Git,Python,Docker,Unit-тестування,UNIX,UI-дизайн,PyTest,Тестування API,Знання теорії тестування,UnitTest"
Python-програміст,Дистанційна робота,"Python,Selenium,Програмування"
IT-специалист по парсингу интернет-магазинов на Python,Дистанційна робота,"Python,Відповідальність,Робота в команді,Програмування"
Middle Python Developer,Київ,"Git,Python,JSON,Знання принципів ООП,Django,REST API,REST,Програмування,Flask,PyQt,OpenCV"
Middle Python Developer,Дніпро,"Python,Docker,REST API,Redis,Machine learning,Deep Learning"
"Fullstack Python, React Developer",Запоріжжя,"CSS,Користувач ОС Linux,JavaScript,Python,PostgreSQL,React,Agile,Відповідальність,MongoDB,Docker,Docker Compose,TypeScript,Django,Flask,AWS,ORM,FastAPI,SOLID Principles,CI/CD"
"Middle Developer (PHP, JS, Java, C/C++, C#, Ruby, Python)",Дистанційна робота,"Java,PHP,JavaScript,Python,C++,C#,Цілеспрямованість,Програмування"
Junior Python Developer in Test (Apps),Київ,"Користувач ОС Linux,Git,Python,Знання принципів ООП,Selenium,Jenkins"
Python Programmer,Дистанційна робота,"Python,Responsibility,Programming,SOLID Principles"
Python-програміст,Дистанційна робота,"CSS,Користувач ОС Linux,JavaScript,HTML,PHP,MySQL,SQL,Git,Python,React,Відповідальність,MongoDB,Node.js,Django,Робота в команді,Пунктуальність,Програмування,Flask,Активна життєва позиція,FastAPI,Machine learning"
"Data Engineer (SQL, Python/Pandas)",Київ,"SQL,Python,pandas"
Middle Python Developer,Дистанційна робота,"Користувач ОС Linux,JavaScript,PHP,Git,Python,PostgreSQL,React,MongoDB,Docker,Docker Compose,Django,Django Rest Framework,Unit-тестування,Redis,Програмування,FastAPI,Aiohttp"
React/Backend Python Developer (Long Term Project),Дистанційна робота,"Python,React,TypeScript,Backend development,FastAPI"
Middle Python-розробник (Django Framework),Дистанційна робота,"JavaScript,Python,PostgreSQL,XML,JSON,Django,Django Rest Framework,REST API,REST,Програмування"
"Web Scraping Data Engineer, інженер даних, програміст Python",Київ,"CSS,MS Excel,HTML,Python,Responsibility,Selenium,Programming,Ability to analyze,Scrapy,Reliability,Beautiful Soup,Determination,MS Power BI,SQL"
Python Developer,Дистанційна робота,"Користувач ОС Linux,JavaScript,PHP,MySQL,Git,Python,PostgreSQL,Docker,Робота в команді,HTTP,REST API,Розробка API"
"Middle Full-Stack Developer (Python, React.js, AWS)",Дистанційна робота,"JavaScript,MySQL,Git,Python,PostgreSQL,React,Комунікабельність,Відповідальність,Docker,TypeScript,Django,Робота в команді,REST API,Програмування,Flask,AWS,Frontend-розробка,Розробка API"
"Middle Back-end developer (Python, Flask, SQL)",Дистанційна робота,"SQL,Python,Комунікабельність,Відповідальність,Робота в команді,REST API,Програмування,Flask,AWS,Розробка API"
"Викладач з комп'ютерної дисципліни (Python, Java)",Одеса,Пунктуальність
"Python Developer, Mentor",Дистанційна робота,"CSS,Користувач ОС Linux,JavaScript,HTML,MySQL,Git,Python,PostgreSQL,Знання принципів ООП,Docker,Django,Django Rest Framework,Робота в команді,SQLite,REST,Програмування,Flask,AWS,SQLAlchemy"
Розробник Python (Django) зі спеціалізацією на ботах Telegram,Полтава,"CSS,JavaScript,HTML,MySQL,Git,Python,Користувач Ubuntu,PostgreSQL,Docker,Django,aiogram"
"Викладач у дитячу IT-школу програмування (геймдизайн, Scratch, Python, комп'ютерна грамотність)",Буча,"CSS,JavaScript,HTML,Python,Комунікабельність,Програмування,Креативність,Scratch,Бажання вчитися і розвиватися"
Python developer,Дистанційна робота,"Python,Django,REST API,REST,Flask,Робота в команді,pandas,NumPy,GraphQL,FastAPI,TensorFlow,Keras,PyTorch,Deep Learning"
"AQA Engineer (Python, Playwright)",Львів,"Git,JavaScript,Python,React,Django,Selenium,Програмування,AWS,Playwright"
"Викладач Python, Unity для дітей",Ковель,
"Викладач у дитячу школу програмування (геймдизайн, Scratch, Python)",Вишневе (Київська обл.),"CSS,JavaScript,HTML,Python,Комунікабельність,Програмування,Креативність,Scratch,Бажання вчитися і розвиватися"
Викладач з Python Minecraft в школу програмування (онлайн),Дистанційна робота,"Python,Комунікабельність,Програмування"
Python Django Developer,Дистанційна робота,"Git,GitHub,Python,PostgreSQL,React,Scrum,Agile,MongoDB,Django,Django Rest Framework,HTTP,REST,Redis,AWS,RabbitMQ,ORM,Celery"
Junior QA Automation Engineer (Python),Дистанційна робота,
Викладач онлайн-курсу Python,Дистанційна робота,"Стресостійкість,Дружелюбність"
PHP Developer (With knowledge of Python),Дистанційна робота,"Python,RabbitMQ,Apache Kafka,Розробка API,SOLID Principles,PHP"
Python-программист,Дистанційна робота,"JavaScript,PHP,MySQL,Git,Python,PostgreSQL,Знання принципів ООП,MongoDB,Docker,Django,Django Rest Framework,nginx,Redis,Jenkins,Flask,RabbitMQ,Celery,JSON Web Token"
"Викладач у дитячу IT-школу програмування (геймдизайн, Scratch, Python, комп'ютерна грамотність)",Ірпінь,"CSS,JavaScript,HTML,Python,Комунікабельність,Програмування,Креативність,Scratch,Бажання вчитися і розвиватися"
Python-програміст,Вінниця,"Користувач ОС Linux,MySQL,Git,Python,Комунікабельність,Docker,Redis,Програмування,Flask,Celery"
Python Developer в Одесу,Одеса,"Python,PostgreSQL,MongoDB,Docker,REST API,Jenkins"
Middle Python Developer in Test (Malevich),Київ,"Користувач ОС Linux,Git,Python,Знання принципів ООП,Jenkins,PyTest,asyncio,Threads,Socket,Multiprocessing,Threading,Надійність"
Senior Python Developer,Дистанційна робота,"CSS,JavaScript,HTML,MySQL,Python,PostgreSQL,Відповідальність,Комунікабельність,Знання принципів ООП,Django,Робота в команді,Unit-тестування,Програмування,FastAPI"
Python-програміст,Чернівці,"Користувач ОС Linux,MySQL,SQL,Користувач ОС Windows,Git,Python,PostgreSQL,Відповідальність,Робота в команді"
Python developer,Дистанційна робота,"MySQL,Python,PostgreSQL,MongoDB,Docker,Django,REST API,Selenium,Redis,Програмування,Уважність,Flask,RabbitMQ,NoSQL,Scrapy,Бажання вчитися і розвиватися"
Full-stack програміст на Python (Strong Junior),Дистанційна робота,"JavaScript,SQL,Python,Комунікабельність,Відповідальність,jQuery,Django,Django Rest Framework,Робота в команді,MS SQL Server,Frontend-розробка"
Python Developer,Київ,"MySQL,Git,GitHub,GitLab,JavaScript,Python,PostgreSQL,React,Відповідальність,MongoDB,Docker,AWS"
"Викладач у дитячу IT-школу програмування (Python, Front end, JavaScript)",Боярка,"CSS,JavaScript,HTML,Python,Комунікабельність,Програмування,Креативність,Scratch,Бажання вчитися і розвиватися"
Python Developer (Computer Vision),Київ,"SQL,Python,Відповідальність,Робота в команді,TensorFlow,PyTorch"
"Backend Developer (Python), ментор",Дистанційна робота,"Відповідальність,Backend-розробка,Python,Django,Slack,Менторство,Комунікабельність,Робота в команді"
"Strong junior, Middle Python developer (chat-bots, parsing)",Київ,"Python,Робота в команді,Пунктуальність,Уважність"
"Викладач програмування у IT-школу (Scratch, Python)",Київ,"MS Office,Python,Програмування,Креативність,Scratch,Робота з дітьми,Користувач ПК,Управління командою,Стресостійкість"
Python-програміст,Дистанційна робота,"CSS,Користувач ОС Linux,JavaScript,HTML,Ведення CRM,MySQL,Git,Python,Комунікабельність,Організованість,Робота в команді,Програмування"
"Python, Odoo-програміст (Middle, Senior)",Одеса,"CSS,JavaScript,HTML,PHP,MySQL,SQL,Python,PostgreSQL,React,Знання принципів ООП,Docker,Vue.js,Програмування,Odoo"
Odoo developer (Python),Дистанційна робота,"CSS,HTML,SQL,Git,Python,Організованість,Комунікабельність,Розробка API,Odoo,Робота з базою даних"
Junior Python Developer,Дистанційна робота,Python
Python developer,Дистанційна робота,"MySQL,Git,Python,PostgreSQL,Комунікабельність,Знання принципів ООП,MongoDB,Django,Робота в команді,Програмування,Flask"
Python Developer for Web Project (Django and Flask),Дистанційна робота,"Python,Django,Flask"
